id,name,location,description,pName1,pPic1,pName2,pPic2,timeStart,timeEnd,tracks,color,time
1,Breakfast,Main hallway,,,,,,8:00 AM,9:00 AM,Food,#DD7373,8:00 AM
2,Meet and Greet,Main hallway,,,,,,8:00 AM,9:00 AM,Food,#DD7373,8:00 AM
3,Introduction to Appcamp.io,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,9:15 AM,9:30 AM,Ionic,#58A4B0,9:15 AM
4,Getting started with Ionic,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,9:30 AM,9:45 AM,Ionic,#58A4B0,9:15 AM
5,Tooling for Ionic,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,9:45 AM,10:00 AM,Tooling,#401F3E,9:15 AM
6,Migrating to Ionic2,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,10:00 AM,10:15 AM,Ionic,#58A4B0,10:00 AM
7,Whats new in Angular,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,10:15 AM,10:30 AM,Angular,#0C7C59,10:00 AM
8,The evolution of Ionicons,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,10:30 AM,10:45 AM,Design,#7C99B4,10:00 AM
9,Ionic.io Services,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,10:45 AM,11:00 AM,Services,#39A0ED,10:00 AM
10,Ionic Workshop,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,11:00 AM,11:45 AM,Workshop,#C1ABA6,11:00 AM
11,Community Interaction,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,11:30 AM,11:50 AM,Communication,#F564A9,11:00 AM
12,Navigation in Ionic,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,11:30 AM,12:00 PM,Navigation,#FCD757,11:00 AM
13,Lunch,Auditorium,Come grab lunch with all the Ionic fanatics and talk all things Ionic,,,,,12:00 PM,1:00 PM,Food,#DD7373,12:00 PM
14,Ionic in the Enterprise,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,1:00 PM,1:15 PM,Communication,#F564A9,1:00 PM
15,Ionic Worldwide,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,1:15 PM,1:30 PM,Communication,#F564A9,1:00 PM
16,The Ionic package service,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,1:30 PM,2:00 PM,Services,#39A0ED,1:00 PM
17,Push Notifications in Ionic,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,2:00 PM,2:30 PM,Services,#39A0ED,2:00 PM
18,Ionic Documentation,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,2:30 PM,2:45 PM,Documentation,#C1ABA6,2:00 PM
19,UX planning in Ionic,Room 2203,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,2:45 PM,3:00 PM,Design,#7C99B4,2:00 PM
20,Directives in Ionic,Room 2201,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,3:00 PM,3:30 PM,Angular,#0C7C59,3:00
21,Mobile States,Room 2202,"Mobile devices and browsers are now advanced enough that developers can build native-quality mobile apps using open web technologies like HTML5, Javascript, and CSS. In this talk, we%u2019ll provide background on why and how we created Ionic, the design decisions made as we integrated Ionic with Angular, and the performance considerations for mobile platforms that our team had to overcome. We%u2019ll also review new and upcoming Ionic features, and talk about the hidden powers and benefits of combining mobile app development and Angular.",Mark Chapman,chapman.png,BillyWarren,billy.png,3:30 PM,3:45 PM,Navigation,#FCD757,3:00
22,Progressive Web Apps,Room 2203,"Progressive Web Apps are a first class citizen in Ionic. In this talk we will discuss what PWA's are, service workers and how to build an Awesome PWA with Ionic",Mark Chapman,chapman.png,BillyWarren,billy.png,3:45 PM,4:15 PM,Workshop,#C1ABA6,3:00
23,Observables,Room 2204,Observables allow for a new reactive programming paradigm. In this talk we will discuss the basics of using observables and some awesome use cases for them,Mark Chapman,chapman.png,BillyWarren,billy.png,4:15 PM,4:45 PM,Workshop,#C1ABA6,3:00